n,scenario,algorithm,time_ns_median,time_ns_mean,comparisons_median,comparisons_mean
200,absent,binary_search,1321.0,1359.8,8.0,8.0
200,absent,linear_search,7872.0,7827.0,200.0,200.0
200,present_high,binary_search,1317.0,1328.0,8.0,8.0
200,present_high,linear_search,7766.0,7767.6,200.0,200.0
200,present_low,binary_search,1893.0,2493.8,7.0,7.0
200,present_low,linear_search,970.0,1203.4,1.0,1.0
200,present_mid,binary_search,1979.0,2150.4,7.0,7.0
200,present_mid,linear_search,4447.0,4813.0,101.0,101.0
500,absent,binary_search,1694.0,1929.4,9.0,9.0
500,absent,linear_search,23754.0,23812.6,500.0,500.0
500,present_high,binary_search,1721.0,2199.0,9.0,9.0
500,present_high,linear_search,24505.0,27679.8,500.0,500.0
500,present_low,binary_search,1290.0,1391.0,8.0,8.0
500,present_low,linear_search,575.0,578.4,1.0,1.0
500,present_mid,binary_search,1462.0,1713.2,8.0,8.0
500,present_mid,linear_search,9677.0,9817.4,251.0,251.0
1000,absent,binary_search,1791.0,1841.4,10.0,10.0
1000,absent,linear_search,52799.0,55916.6,1000.0,1000.0
1000,present_high,binary_search,1764.0,1768.4,10.0,10.0
1000,present_high,linear_search,52747.0,52644.4,1000.0,1000.0
1000,present_low,binary_search,1373.0,1465.6,9.0,9.0
1000,present_low,linear_search,545.0,565.0,1.0,1.0
1000,present_mid,binary_search,1621.0,1663.2,9.0,9.0
1000,present_mid,linear_search,23789.0,24035.4,501.0,501.0
2000,absent,binary_search,1899.0,1935.8,11.0,11.0
2000,absent,linear_search,109299.0,115128.0,2000.0,2000.0
2000,present_high,binary_search,2032.0,2118.6,11.0,11.0
2000,present_high,linear_search,110377.0,111265.0,2000.0,2000.0
2000,present_low,binary_search,1487.0,1618.2,10.0,10.0
2000,present_low,linear_search,573.0,586.2,1.0,1.0
2000,present_mid,binary_search,2032.0,2618.8,10.0,10.0
2000,present_mid,linear_search,53654.0,53682.2,1001.0,1001.0
5000,absent,binary_search,2168.0,2269.4,13.0,13.0
5000,absent,linear_search,285325.0,285726.0,5000.0,5000.0
5000,present_high,binary_search,2170.0,2142.8,13.0,13.0
5000,present_high,linear_search,289387.0,298990.2,5000.0,5000.0
5000,present_low,binary_search,1829.0,2102.6,12.0,12.0
5000,present_low,linear_search,602.0,654.0,1.0,1.0
5000,present_mid,binary_search,2010.0,1993.6,12.0,12.0
5000,present_mid,linear_search,138420.0,143484.2,2501.0,2501.0
10000,absent,binary_search,3514.0,3377.4,14.0,14.0
10000,absent,linear_search,628182.0,672905.2,10000.0,10000.0
10000,present_high,binary_search,3998.0,3985.0,14.0,14.0
10000,present_high,linear_search,694254.0,728261.0,10000.0,10000.0
10000,present_low,binary_search,3518.0,49504.2,13.0,13.0
10000,present_low,linear_search,1104.0,1440.0,1.0,1.0
10000,present_mid,binary_search,5309.0,5270.2,13.0,13.0
10000,present_mid,linear_search,527540.0,502215.2,5001.0,5001.0
20000,absent,binary_search,2867.0,3265.4,15.0,15.0
20000,absent,linear_search,1193177.0,1268430.8,20000.0,20000.0
20000,present_high,binary_search,2691.0,3105.6,15.0,15.0
20000,present_high,linear_search,1175665.0,1195908.2,20000.0,20000.0
20000,present_low,binary_search,2109.0,2574.4,14.0,14.0
20000,present_low,linear_search,658.0,765.4,1.0,1.0
20000,present_mid,binary_search,3972.0,3871.6,14.0,14.0
20000,present_mid,linear_search,754575.0,729590.2,10001.0,10001.0
50000,absent,binary_search,3274.0,3667.8,16.0,16.0
50000,absent,linear_search,3079409.0,3103019.6,50000.0,50000.0
50000,present_high,binary_search,4709.0,4946.2,16.0,16.0
50000,present_high,linear_search,3092361.0,6464950.0,50000.0,50000.0
50000,present_low,binary_search,2232.0,3181.0,15.0,15.0
50000,present_low,linear_search,585.0,1152.6,1.0,1.0
50000,present_mid,binary_search,2896.0,3045.0,15.0,15.0
50000,present_mid,linear_search,1527867.0,1509712.6,25001.0,25001.0
100000,absent,binary_search,3722.0,3825.0,17.0,17.0
100000,absent,linear_search,6144584.0,6896837.2,100000.0,100000.0
100000,present_high,binary_search,4638.0,5008.2,17.0,17.0
100000,present_high,linear_search,5921725.0,6004821.8,100000.0,100000.0
100000,present_low,binary_search,2517.0,3542.2,16.0,16.0
100000,present_low,linear_search,558.0,940.4,1.0,1.0
100000,present_mid,binary_search,3825.0,4149.2,16.0,16.0
100000,present_mid,linear_search,2984264.0,3001678.8,50001.0,50001.0
200000,absent,binary_search,5465.0,5405.2,18.0,18.0
200000,absent,linear_search,12148426.0,12139650.4,200000.0,200000.0
200000,present_high,binary_search,5847.0,11492.0,18.0,18.0
200000,present_high,linear_search,12449828.0,13933306.2,200000.0,200000.0
200000,present_low,binary_search,2637.0,8859.2,17.0,17.0
200000,present_low,linear_search,602.0,1231.0,1.0,1.0
200000,present_mid,binary_search,7419.0,12278.2,17.0,17.0
200000,present_mid,linear_search,6073440.0,6261446.0,100001.0,100001.0
500000,absent,binary_search,7881.0,10109.4,19.0,19.0
500000,absent,linear_search,30897816.0,33161494.2,500000.0,500000.0
500000,present_high,binary_search,8439.0,9190.0,19.0,19.0
500000,present_high,linear_search,31325791.0,32280240.6,500000.0,500000.0
500000,present_low,binary_search,2972.0,8101.0,18.0,18.0
500000,present_low,linear_search,1862.0,982500.0,1.0,1.0
500000,present_mid,binary_search,6318.0,7349.8,18.0,18.0
500000,present_mid,linear_search,15951950.0,17216495.6,250001.0,250001.0
